Archivo,Tiempo_ReMatch,Outputs_ReMatch,Tiempo_RePython,Outputs_RePython
sparql.log.combo.1,1.8136317729949951,78405,0.17295145988464355,78404
sparql.log.combo.2,3.18060302734375,143428,0.2811555862426758,143187
sparql.log.combo.3,4.714907169342041,208648,0.36858344078063965,208407
sparql.log.combo.4,5.807037353515625,269247,0.4517984390258789,269006
sparql.log.combo.5,7.585525989532471,350262,0.5888195037841797,349781
sparql.log.combo.6,9.99790644645691,429285,0.6566526889801025,428804
sparql.log.combo.7,10.517695188522339,483099,0.6519057750701904,482618
sparql.log.combo.8,11.940561771392822,558328,0.8630242347717285,557847
sparql.log.combo.9,17.700394868850708,636039,0.9931485652923584,635318
sparql.log.combo.10,16.0573890209198,696525,1.057554006576538,695804
sparql.log.combo.11,16.969390630722046,721218,1.0435221195220947,720497
