x = |10021480,10021491>
x = |10024816,10024830>
x = |10026142,10026150>
x = |10032774,10032789>
x = |10034470,10034482>
x = |1004113,1004124>
x = |10044092,10044103>
x = |10052421,10052432>
x = |10055569,10055582>
x = |10058741,10058752>
x = |10063584,10063595>
x = |10066858,10066869>
x = |10068479,10068487>
x = |10071580,10071602>
x = |10072731,10072744>
x = |10086189,10086197>
x = |10087221,10087229>
x = |10090954,10090966>
x = |10100134,10100147>
x = |10102001,10102014>
x = |10104875,10104894>
x = |1010528,1010541>
x = |10108421,10108430>
x = |10122063,10122075>
x = |10122558,10122578>
x = |10122801,10122813>
x = |10127356,10127369>
x = |10133273,10133288>
x = |10134074,10134083>
x = |10142971,10142979>
x = |10144549,10144560>
x = |10145036,10145051>
x = |10151515,10151533>
x = |10153115,10153126>
x = |101561,101569>
x = |10158672,10158685>
x = |10175825,10175836>
x = |10176072,10176083>
x = |10183245,10183255>
x = |10183504,10183517>
x = |10184777,10184788>
x = |10204391,10204400>
x = |10207640,10207651>
x = |10207921,10207930>
x = |10207974,10207986>
x = |10212761,10212771>
x = |10213371,10213381>
x = |10213904,10213919>
x = |10216745,10216755>
x = |10220622,10220633>
x = |10222971,10222981>
x = |10231762,10231774>
x = |10236290,10236300>
x = |10242209,10242222>
x = |10247299,10247313>
x = |10252121,10252140>
x = |10252272,10252282>
x = |1025279,1025294>
x = |10255397,10255407>
x = |10255615,10255635>
x = |10255778,10255788>
x = |10255850,10255862>
x = |10258603,10258613>
x = |10260177,10260187>
x = |10261089,10261099>
x = |10266936,10266953>
x = |10269913,10269926>
x = |10271542,10271556>
x = |10273014,10273028>
x = |10274978,10274987>
x = |10278896,10278908>
x = |10282372,10282381>
x = |10290298,10290311>
x = |10290820,10290834>
x = |10291937,10291948>
x = |10293882,10293894>
x = |10294069,10294082>
x = |10302591,10302601>
x = |10302648,10302658>
x = |10304402,10304409>
x = |10306977,10306992>
x = |10308169,10308179>
x = |10314694,10314708>
x = |1032315,1032332>
x = |10333651,10333659>
x = |10334602,10334624>
x = |10335978,10335986>
x = |10336085,10336093>
x = |10336135,10336143>
x = |10338125,10338142>
x = |1034344,1034355>
x = |10350881,10350893>
x = |10351282,10351294>
x = |10367561,10367570>
x = |10369223,10369237>
x = |10370792,10370806>
x = |10370918,10370930>
x = |10372020,10372029>
x = |10372633,10372648>
x = |10374618,10374629>
x = |10384657,10384665>
x = |10391526,10391539>
x = |10393987,10394004>
x = |10398047,10398061>
x = |10402270,10402287>
x = |10402528,10402542>
x = |10403341,10403354>
x = |10409177,10409191>
x = |10414687,10414712>
x = |10416686,10416701>
x = |10419059,10419071>
x = |10419294,10419311>
x = |10425049,10425058>
x = |10428686,10428698>
x = |10432246,10432257>
x = |10432412,10432426>
x = |10433503,10433513>
x = |10435317,10435332>
x = |10444472,10444481>
x = |10450087,10450098>
x = |10454786,10454797>
x = |10455992,10456008>
x = |10457021,10457031>
x = |10459890,10459902>
x = |10460409,10460427>
x = |10460981,10460999>
x = |10468390,10468398>
x = |10474013,10474025>
x = |10475264,10475275>
x = |10478403,10478424>
x = |10480154,10480165>
x = |10494743,10494762>
x = |10494818,10494826>
x = |10499179,10499187>
x = |10499370,10499381>
x = |10499470,10499481>
x = |10502177,10502191>
x = |10503159,10503172>
x = |10504117,10504125>
x = |1050613,1050626>
x = |1050634,1050650>
