"","query","noutputs"
0,"\W!x{a\w+\Wa\w+}\W",44143
1,"\W!x{a\w+\Wan\w+}\W",8986
2,"\W!x{a\w+\W\w+er}\W",19291
3,"\W!x{a\w+\Wco\w+}\W",8002
4,"\W!x{a\w+\W\w+ly}\W",11113
5,"\W!x{a\w+\Wbe\w+}\W",6355
6,"\W!x{a\w+\Wre\w+}\W",6653
7,"\W!x{a\w+\W\w+or}\W",4791
8,"\W!x{a\w+\W\w+ion}\W",4365
9,"\W!x{a\w+\Win\w+}\W",6696
10,"\W!x{a\w+\Wde\w+}\W",3947
11,"\W!x{a\w+\Wdi\w+}\W",4619
12,"\W!x{a\w+\W\w+ent}\W",5449
13,"\W!x{a\w+\W\w+geo?\w+}\W",3673
14,"\W!x{a\w+\W\w+al}\W",3573
15,"\W!x{a\w+\Wcom\w+}\W",2345
16,"\W!x{a\w+\Wcon\w+}\W",2769
17,"\W!x{a\w+\Wun\w+}\W",4019
18,"\W!x{a\w+\Wex\w+}\W",3296
19,"\W!x{a\w+\Wen\w+}\W",2546
20,"\W!x{a\w+\Wpro\w+}\W",1909
21,"\W!x{a\w+\W\w+ation}\W",1596
22,"\W!x{a\w+\W\w+ive}\W",1884
23,"\W!x{a\w+\Wdis\w+}\W",2093
24,"\W!x{a\w+\W\w+ous}\W",2203
25,"\W!x{a\w+\W\w+ate}\W",1507
26,"\W!x{a\w+\W\w+ure}\W",1782
27,"\W!x{a\w+\Wpre\w+}\W",1792
28,"\W!x{a\w+\W\w+ment}\W",1186
29,"\W!x{a\w+\W\w+ence}\W",1296
30,"\W!x{a\w+\W\w+able}\W",2141
31,"\W!x{a\w+\W\w+ant}\W",1627
32,"\W!x{a\w+\W\w+ity}\W",1430
33,"\W!x{a\w+\W\w+ness}\W",1231
34,"\W!x{a\w+\W\w+ance}\W",1019
35,"\W!x{a\w+\W\w+ful}\W",1654
36,"\W!x{a\w+\Wim\w+}\W",1752
37,"\W!x{a\w+\W\w+age}\W",593
38,"\W!x{a\w+\W\w+ish}\W",758
39,"\W!x{a\w+\W\w+ic}\W",756
40,"\W!x{a\w+\W\w+ary}\W",840
41,"\W!x{a\w+\W\w+mi[ts]\w+}\W",589
42,"\W!x{a\w+\W\w+bio?\w+}\W",849
43,"\W!x{a\w+\W\w+ise}\W",613
44,"\W!x{a\w+\Wbi\w+}\W",559
45,"\W!x{a\w+\W\w+less}\W",765
46,"\W!x{a\w+\Winter\w+}\W",855
47,"\W!x{a\w+\Wmis\w+}\W",414
48,"\W!x{a\w+\W\w+ible}\W",882
49,"\W!x{a\w+\Wcol\w+}\W",441
50,"\W!x{a\w+\Wtri\w+}\W",488
51,"\W!x{a\w+\W\w+spect?\w+}\W",433
52,"\W!x{a\w+\Wem\w+}\W",709
53,"\W!x{a\w+\W\w+pan\w+}\W",217
54,"\W!x{a\w+\W\w+ver[ts]\w+}\W",354
55,"\W!x{a\w+\Wsub\w+}\W",302
56,"\W!x{a\w+\W\w+press\w+}\W",614
57,"\W!x{a\w+\W\w+port\w+}\W",574
58,"\W!x{a\w+\W\w+ian}\W",286
59,"\W!x{a\w+\W\w+auto?\w+}\W",452
60,"\W!x{a\w+\W\w+ist}\W",164
61,"\W!x{a\w+\W\w+dict?\w+}\W",233
62,"\W!x{a\w+\W\w+form\w+}\W",188
63,"\W!x{a\w+\Wil\w+}\W",330
64,"\W!x{a\w+\Wnon\w+}\W",205
65,"\W!x{a\w+\W\w+ship}\W",126
66,"\W!x{a\w+\W\w+scri(pt|b)\w+}\W",197
67,"\W!x{a\w+\W\w+stru(ct)?\w+}\W",242
68,"\W!x{a\w+\W\w+eer}\W",123
69,"\W!x{a\w+\W\w+c[ae]pt\w+}\W",238
70,"\W!x{a\w+\W\w+cial}\W",217
71,"\W!x{a\w+\W\w+cide\w+}\W",269
72,"\W!x{a\w+\W\w+fact?\w+}\W",150
73,"\W!x{a\w+\W\w+p(el|uls)\w+}\W",185
74,"\W!x{a\w+\Wir\w+}\W",347
75,"\W!x{a\w+\W\w+ject\w+}\W",152
76,"\W!x{a\w+\W\w+tude}\W",184
77,"\W!x{a\w+\Wuni\w+}\W",165
78,"\W!x{a\w+\W\w+hood}\W",74
79,"\W!x{a\w+\W\w+tract\w+}\W",149
80,"\W!x{a\w+\W\w+ize}\W",73
81,"\W!x{a\w+\W\w+pa(th|ss)\w+}\W",182
82,"\W!x{a\w+\Wcontra\w+}\W",56
83,"\W!x{a\w+\Wbene\w+}\W",61
84,"\W!x{a\w+\Wtrans\w+}\W",73
85,"\W!x{a\w+\W\w+fle[cx]\w+}\W",71
86,"\W!x{a\w+\W\w+rupt\w+}\W",83
87,"\W!x{a\w+\W\w+graph\w+}\W",58
88,"\W!x{a\w+\Wpost\w+}\W",37
89,"\W!x{a\w+\W\w+tial}\W",131
90,"\W!x{a\w+\Wmal\w+}\W",67
91,"\W!x{a\w+\W\w+ism}\W",67
92,"\W!x{a\w+\Wdia\w+}\W",15
93,"\W!x{a\w+\W\w+homo?\w+}\W",32
94,"\W!x{a\w+\Wmulti\w+}\W",32
95,"\W!x{a\w+\W\w+gr(ad|ess)\w+}\W",49
96,"\W!x{a\w+\Wanti\w+}\W",50
97,"\W!x{a\w+\Wmono\w+}\W",31
98,"\W!x{a\w+\W\w+logy}\W",62
99,"\W!x{a\w+\W\w+spire\w+}\W",36
100,"\W!x{an\w+\Wa\w+}\W",16028
101,"\W!x{an\w+\Wan\w+}\W",1589
102,"\W!x{an\w+\W\w+er}\W",10729
103,"\W!x{an\w+\Wco\w+}\W",5324
104,"\W!x{an\w+\W\w+ly}\W",6559
105,"\W!x{an\w+\Wbe\w+}\W",3649
106,"\W!x{an\w+\Wre\w+}\W",4427
107,"\W!x{an\w+\W\w+or}\W",1618
108,"\W!x{an\w+\W\w+ion}\W",2285
109,"\W!x{an\w+\Win\w+}\W",2462
110,"\W!x{an\w+\Wde\w+}\W",2632
111,"\W!x{an\w+\Wdi\w+}\W",3266
112,"\W!x{an\w+\W\w+ent}\W",3043
113,"\W!x{an\w+\W\w+geo?\w+}\W",2145
114,"\W!x{an\w+\W\w+al}\W",1732
115,"\W!x{an\w+\Wcom\w+}\W",1484
116,"\W!x{an\w+\Wcon\w+}\W",1791
117,"\W!x{an\w+\Wun\w+}\W",1721
118,"\W!x{an\w+\Wex\w+}\W",1380
119,"\W!x{an\w+\Wen\w+}\W",1176
120,"\W!x{an\w+\Wpro\w+}\W",1333
121,"\W!x{an\w+\W\w+ation}\W",867
122,"\W!x{an\w+\W\w+ive}\W",1102
123,"\W!x{an\w+\Wdis\w+}\W",1627
124,"\W!x{an\w+\W\w+ous}\W",1350
125,"\W!x{an\w+\W\w+ate}\W",935
126,"\W!x{an\w+\W\w+ure}\W",638
127,"\W!x{an\w+\Wpre\w+}\W",1071
128,"\W!x{an\w+\W\w+ment}\W",624
129,"\W!x{an\w+\W\w+ence}\W",830
130,"\W!x{an\w+\W\w+able}\W",1056
131,"\W!x{an\w+\W\w+ant}\W",665
132,"\W!x{an\w+\W\w+ity}\W",848
133,"\W!x{an\w+\W\w+ness}\W",923
134,"\W!x{an\w+\W\w+ance}\W",577
135,"\W!x{an\w+\W\w+ful}\W",1096
136,"\W!x{an\w+\Wim\w+}\W",666
137,"\W!x{an\w+\W\w+age}\W",358
138,"\W!x{an\w+\W\w+ish}\W",459
139,"\W!x{an\w+\W\w+ic}\W",394
