"","query","noutputs"
0,"\W!x{((a\w+|an\w+|\w+er)\W+){5}(a\w+|an\w+|\w+er)}\W",119
1,"\W!x{((a\w+|an\w+|co\w+)\W+){5}(a\w+|an\w+|co\w+)}\W",23
2,"\W!x{((a\w+|an\w+|\w+ly)\W+){5}(a\w+|an\w+|\w+ly)}\W",81
3,"\W!x{((a\w+|an\w+|be\w+)\W+){5}(a\w+|an\w+|be\w+)}\W",15
4,"\W!x{((a\w+|an\w+|re\w+)\W+){5}(a\w+|an\w+|re\w+)}\W",25
5,"\W!x{((a\w+|an\w+|\w+or)\W+){5}(a\w+|an\w+|\w+or)}\W",15
6,"\W!x{((a\w+|an\w+|\w+ion)\W+){5}(a\w+|an\w+|\w+ion)}\W",22
7,"\W!x{((a\w+|an\w+|in\w+)\W+){5}(a\w+|an\w+|in\w+)}\W",22
8,"\W!x{((a\w+|an\w+|de\w+)\W+){5}(a\w+|an\w+|de\w+)}\W",13
9,"\W!x{((a\w+|an\w+|di\w+)\W+){5}(a\w+|an\w+|di\w+)}\W",31
10,"\W!x{((a\w+|an\w+|\w+ent)\W+){5}(a\w+|an\w+|\w+ent)}\W",13
11,"\W!x{((a\w+|an\w+|\w+geo?\w+)\W+){5}(a\w+|an\w+|\w+geo?\w+)}\W",11
12,"\W!x{((a\w+|an\w+|\w+al)\W+){5}(a\w+|an\w+|\w+al)}\W",22
13,"\W!x{((a\w+|an\w+|com\w+)\W+){5}(a\w+|an\w+|com\w+)}\W",13
14,"\W!x{((a\w+|an\w+|con\w+)\W+){5}(a\w+|an\w+|con\w+)}\W",13
15,"\W!x{((a\w+|an\w+|un\w+)\W+){5}(a\w+|an\w+|un\w+)}\W",21
16,"\W!x{((a\w+|an\w+|ex\w+)\W+){5}(a\w+|an\w+|ex\w+)}\W",16
17,"\W!x{((a\w+|an\w+|en\w+)\W+){5}(a\w+|an\w+|en\w+)}\W",14
18,"\W!x{((a\w+|an\w+|pro\w+)\W+){5}(a\w+|an\w+|pro\w+)}\W",13
19,"\W!x{((a\w+|an\w+|\w+ation)\W+){5}(a\w+|an\w+|\w+ation)}\W",14
20,"\W!x{((a\w+|an\w+|\w+ive)\W+){5}(a\w+|an\w+|\w+ive)}\W",13
21,"\W!x{((a\w+|an\w+|dis\w+)\W+){5}(a\w+|an\w+|dis\w+)}\W",28
22,"\W!x{((a\w+|an\w+|\w+ous)\W+){5}(a\w+|an\w+|\w+ous)}\W",13
23,"\W!x{((a\w+|an\w+|\w+ate)\W+){5}(a\w+|an\w+|\w+ate)}\W",10
24,"\W!x{((a\w+|an\w+|\w+ure)\W+){5}(a\w+|an\w+|\w+ure)}\W",10
25,"\W!x{((a\w+|an\w+|pre\w+)\W+){5}(a\w+|an\w+|pre\w+)}\W",14
26,"\W!x{((a\w+|an\w+|\w+ment)\W+){5}(a\w+|an\w+|\w+ment)}\W",11
27,"\W!x{((a\w+|an\w+|\w+ence)\W+){5}(a\w+|an\w+|\w+ence)}\W",13
28,"\W!x{((a\w+|an\w+|\w+able)\W+){5}(a\w+|an\w+|\w+able)}\W",10
