"","query","noutputs","bin_range_min","bin_range_max"
0,"((a\w+|co\w+|\w+ly)\W+){5}(a\w+|co\w+|\w+ly)",110,100,1000
1,"((a\w+|\w+er|en\w+)\W+){5}(a\w+|\w+er|en\w+)",128,100,1000
2,"((a\w+|\w+er|\w+ness)\W+){5}(a\w+|\w+er|\w+ness)",127,100,1000
3,"((a\w+|\w+er|de\w+)\W+){5}(a\w+|\w+er|de\w+)",129,100,1000
4,"((a\w+|\w+er|\w+ent)\W+){5}(a\w+|\w+er|\w+ent)",137,100,1000
5,"((a\w+|\w+ly|dis\w+)\W+){5}(a\w+|\w+ly|dis\w+)",105,100,1000
6,"((a\w+|\w+er|\w+or)\W+){5}(a\w+|\w+er|\w+or)",154,100,1000
7,"((a\w+|\w+er|\w+age)\W+){5}(a\w+|\w+er|\w+age)",122,100,1000
8,"((a\w+|\w+er|\w+ous)\W+){5}(a\w+|\w+er|\w+ous)",128,100,1000
9,"((a\w+|\w+er|pre\w+)\W+){5}(a\w+|\w+er|pre\w+)",125,100,1000
10,"((a\w+|\w+er|\w+geo?\w+)\W+){5}(a\w+|\w+er|\w+geo?\w+)",128,100,1000
11,"((a\w+|\w+er|\w+ish)\W+){5}(a\w+|\w+er|\w+ish)",122,100,1000
12,"((a\w+|\w+er|com\w+)\W+){5}(a\w+|\w+er|com\w+)",125,100,1000
13,"((a\w+|\w+ly|in\w+)\W+){5}(a\w+|\w+ly|in\w+)",112,100,1000
14,"((a\w+|\w+ly|re\w+)\W+){5}(a\w+|\w+ly|re\w+)",113,100,1000
15,"((a\w+|\w+er|pro\w+)\W+){5}(a\w+|\w+er|pro\w+)",125,100,1000
16,"((a\w+|\w+er|\w+ence)\W+){5}(a\w+|\w+er|\w+ence)",124,100,1000
17,"((a\w+|\w+ly|di\w+)\W+){5}(a\w+|\w+ly|di\w+)",111,100,1000
18,"((a\w+|\w+er|\w+al)\W+){5}(a\w+|\w+er|\w+al)",139,100,1000
19,"((a\w+|\w+er|\w+ic)\W+){5}(a\w+|\w+er|\w+ic)",120,100,1000
20,"((a\w+|\w+er|in\w+)\W+){5}(a\w+|\w+er|in\w+)",149,100,1000
21,"((a\w+|\w+er|ex\w+)\W+){5}(a\w+|\w+er|ex\w+)",132,100,1000
22,"((a\w+|\w+er|\w+ment)\W+){5}(a\w+|\w+er|\w+ment)",124,100,1000
23,"((a\w+|\w+er|\w+ure)\W+){5}(a\w+|\w+er|\w+ure)",121,100,1000
24,"((a\w+|an\w+|\w+er)\W+){5}(a\w+|an\w+|\w+er)",119,100,1000
25,"((a\w+|\w+er|im\w+)\W+){5}(a\w+|\w+er|im\w+)",126,100,1000
26,"((a\w+|\w+er|\w+ly)\W+){5}(a\w+|\w+er|\w+ly)",240,100,1000
27,"((a\w+|\w+er|\w+ate)\W+){5}(a\w+|\w+er|\w+ate)",120,100,1000
28,"((a\w+|\w+er|con\w+)\W+){5}(a\w+|\w+er|con\w+)",127,100,1000
29,"((a\w+|\w+er|di\w+)\W+){5}(a\w+|\w+er|di\w+)",151,100,1000
30,"((a\w+|\w+er|re\w+)\W+){5}(a\w+|\w+er|re\w+)",150,100,1000
31,"((a\w+|\w+er|\w+ity)\W+){5}(a\w+|\w+er|\w+ity)",124,100,1000
32,"((a\w+|\w+er|\w+ant)\W+){5}(a\w+|\w+er|\w+ant)",122,100,1000
33,"((a\w+|\w+er|co\w+)\W+){5}(a\w+|\w+er|co\w+)",151,100,1000
34,"((a\w+|\w+er|\w+ion)\W+){5}(a\w+|\w+er|\w+ion)",140,100,1000
35,"((a\w+|\w+er|be\w+)\W+){5}(a\w+|\w+er|be\w+)",152,100,1000
36,"((a\w+|\w+er|\w+ive)\W+){5}(a\w+|\w+er|\w+ive)",123,100,1000
37,"((a\w+|\w+er|\w+able)\W+){5}(a\w+|\w+er|\w+able)",120,100,1000
38,"((a\w+|\w+er|\w+ful)\W+){5}(a\w+|\w+er|\w+ful)",126,100,1000
39,"((a\w+|\w+er|\w+ation)\W+){5}(a\w+|\w+er|\w+ation)",126,100,1000
40,"((a\w+|\w+er|dis\w+)\W+){5}(a\w+|\w+er|dis\w+)",139,100,1000
41,"((a\w+|\w+er|un\w+)\W+){5}(a\w+|\w+er|un\w+)",142,100,1000
42,"((a\w+|\w+ly|\w+al)\W+){5}(a\w+|\w+ly|\w+al)",100,100,1000
43,"((a\w+|\w+er|\w+ance)\W+){5}(a\w+|\w+er|\w+ance)",120,100,1000
0,"((an\w+|\w+ly|pro\w+)\W+){5}(an\w+|\w+ly|pro\w+)",22,10,100
1,"((an\w+|dis\w+|\w+age)\W+){5}(an\w+|dis\w+|\w+age)",14,10,100
2,"((a\w+|un\w+|\w+ful)\W+){5}(a\w+|un\w+|\w+ful)",26,10,100
3,"((a\w+|be\w+|\w+ance)\W+){5}(a\w+|be\w+|\w+ance)",16,10,100
4,"((a\w+|\w+ly|un\w+)\W+){5}(a\w+|\w+ly|un\w+)",95,10,100
5,"((a\w+|com\w+|\w+ness)\W+){5}(a\w+|com\w+|\w+ness)",19,10,100
6,"((an\w+|re\w+|dis\w+)\W+){5}(an\w+|re\w+|dis\w+)",21,10,100
7,"((an\w+|re\w+|\w+al)\W+){5}(an\w+|re\w+|\w+al)",16,10,100
8,"((a\w+|re\w+|\w+ation)\W+){5}(a\w+|re\w+|\w+ation)",27,10,100
9,"((a\w+|\w+ly|pro\w+)\W+){5}(a\w+|\w+ly|pro\w+)",86,10,100
10,"((a\w+|re\w+|un\w+)\W+){5}(a\w+|re\w+|un\w+)",39,10,100
11,"((an\w+|de\w+|dis\w+)\W+){5}(an\w+|de\w+|dis\w+)",17,10,100
12,"((an\w+|co\w+|dis\w+)\W+){5}(an\w+|co\w+|dis\w+)",15,10,100
13,"((a\w+|be\w+|re\w+)\W+){5}(a\w+|be\w+|re\w+)",31,10,100
14,"((a\w+|in\w+|\w+ity)\W+){5}(a\w+|in\w+|\w+ity)",27,10,100
15,"((a\w+|di\w+|\w+ful)\W+){5}(a\w+|di\w+|\w+ful)",36,10,100
16,"((a\w+|co\w+|com\w+)\W+){5}(a\w+|co\w+|com\w+)",23,10,100
17,"((a\w+|con\w+|\w+ish)\W+){5}(a\w+|con\w+|\w+ish)",14,10,100
18,"((a\w+|\w+al|\w+ive)\W+){5}(a\w+|\w+al|\w+ive)",25,10,100
19,"((a\w+|\w+ive|\w+ous)\W+){5}(a\w+|\w+ive|\w+ous)",18,10,100
20,"((a\w+|re\w+|\w+al)\W+){5}(a\w+|re\w+|\w+al)",38,10,100
21,"((a\w+|de\w+|\w+ent)\W+){5}(a\w+|de\w+|\w+ent)",18,10,100
22,"((an\w+|\w+ly|\w+ance)\W+){5}(an\w+|\w+ly|\w+ance)",20,10,100
23,"((a\w+|re\w+|\w+ish)\W+){5}(a\w+|re\w+|\w+ish)",28,10,100
24,"((a\w+|com\w+|pro\w+)\W+){5}(a\w+|com\w+|pro\w+)",16,10,100
25,"((a\w+|con\w+|im\w+)\W+){5}(a\w+|con\w+|im\w+)",17,10,100
26,"((a\w+|be\w+|\w+ous)\W+){5}(a\w+|be\w+|\w+ous)",18,10,100
27,"((a\w+|com\w+|con\w+)\W+){5}(a\w+|com\w+|con\w+)",17,10,100
28,"((a\w+|\w+ment|im\w+)\W+){5}(a\w+|\w+ment|im\w+)",15,10,100
29,"((a\w+|\w+ure|\w+age)\W+){5}(a\w+|\w+ure|\w+age)",10,10,100
30,"((\w+er|\w+ly|pro\w+)\W+){5}(\w+er|\w+ly|pro\w+)",11,10,100
31,"((an\w+|\w+ly|\w+able)\W+){5}(an\w+|\w+ly|\w+able)",20,10,100
32,"((a\w+|be\w+|\w+ment)\W+){5}(a\w+|be\w+|\w+ment)",16,10,100
33,"((a\w+|de\w+|\w+geo?\w+)\W+){5}(a\w+|de\w+|\w+geo?\w+)",15,10,100
34,"((a\w+|\w+ity|\w+ful)\W+){5}(a\w+|\w+ity|\w+ful)",18,10,100
35,"((an\w+|di\w+|\w+ment)\W+){5}(an\w+|di\w+|\w+ment)",15,10,100
36,"((a\w+|an\w+|\w+ent)\W+){5}(a\w+|an\w+|\w+ent)",13,10,100
37,"((an\w+|di\w+|\w+ence)\W+){5}(an\w+|di\w+|\w+ence)",15,10,100
38,"((an\w+|\w+ly|\w+ish)\W+){5}(an\w+|\w+ly|\w+ish)",20,10,100
39,"((a\w+|re\w+|\w+ness)\W+){5}(a\w+|re\w+|\w+ness)",28,10,100
40,"((a\w+|pro\w+|\w+ure)\W+){5}(a\w+|pro\w+|\w+ure)",13,10,100
41,"((an\w+|\w+er|com\w+)\W+){5}(an\w+|\w+er|com\w+)",48,10,100
42,"((a\w+|con\w+|\w+ity)\W+){5}(a\w+|con\w+|\w+ity)",17,10,100
43,"((a\w+|de\w+|\w+al)\W+){5}(a\w+|de\w+|\w+al)",28,10,100
0,"((\w+al|\w+able|\w+ful)\W+){5}(\w+al|\w+able|\w+ful)",6,1,10
1,"((co\w+|\w+al|im\w+)\W+){5}(co\w+|\w+al|im\w+)",6,1,10
2,"((an\w+|\w+or|in\w+)\W+){5}(an\w+|\w+or|in\w+)",2,1,10
3,"((an\w+|ex\w+|\w+ic)\W+){5}(an\w+|ex\w+|\w+ic)",3,1,10
4,"((be\w+|de\w+|\w+al)\W+){5}(be\w+|de\w+|\w+al)",6,1,10
5,"((be\w+|di\w+|\w+al)\W+){5}(be\w+|di\w+|\w+al)",6,1,10
6,"((\w+er|\w+ous|\w+ic)\W+){5}(\w+er|\w+ous|\w+ic)",3,1,10
7,"((an\w+|pro\w+|\w+ure)\W+){5}(an\w+|pro\w+|\w+ure)",4,1,10
8,"((\w+al|un\w+|\w+ure)\W+){5}(\w+al|un\w+|\w+ure)",6,1,10
9,"((an\w+|\w+ance|\w+ic)\W+){5}(an\w+|\w+ance|\w+ic)",2,1,10
10,"((be\w+|\w+al|\w+ation)\W+){5}(be\w+|\w+al|\w+ation)",6,1,10
11,"((\w+er|\w+al|\w+ate)\W+){5}(\w+er|\w+al|\w+ate)",9,1,10
12,"((\w+er|\w+or|\w+ic)\W+){5}(\w+er|\w+or|\w+ic)",5,1,10
13,"((\w+ly|en\w+|\w+ive)\W+){5}(\w+ly|en\w+|\w+ive)",4,1,10
14,"((\w+er|en\w+|\w+ate)\W+){5}(\w+er|en\w+|\w+ate)",3,1,10
15,"((\w+ly|\w+ive|\w+able)\W+){5}(\w+ly|\w+ive|\w+able)",4,1,10
16,"((\w+or|\w+al|\w+age)\W+){5}(\w+or|\w+al|\w+age)",6,1,10
17,"((\w+er|de\w+|\w+ness)\W+){5}(\w+er|de\w+|\w+ness)",5,1,10
18,"((\w+ion|\w+al|\w+ence)\W+){5}(\w+ion|\w+al|\w+ence)",6,1,10
19,"((\w+ent|\w+al|\w+ance)\W+){5}(\w+ent|\w+al|\w+ance)",6,1,10
20,"((\w+ly|\w+ment|\w+able)\W+){5}(\w+ly|\w+ment|\w+able)",4,1,10
21,"((an\w+|\w+geo?\w+|en\w+)\W+){5}(an\w+|\w+geo?\w+|en\w+)",4,1,10
22,"((\w+er|un\w+|\w+ance)\W+){5}(\w+er|un\w+|\w+ance)",3,1,10
23,"((\w+er|di\w+|pre\w+)\W+){5}(\w+er|di\w+|pre\w+)",3,1,10
24,"((an\w+|\w+ation|im\w+)\W+){5}(an\w+|\w+ation|im\w+)",4,1,10
25,"((\w+er|be\w+|\w+ness)\W+){5}(\w+er|be\w+|\w+ness)",5,1,10
26,"((an\w+|\w+geo?\w+|con\w+)\W+){5}(an\w+|\w+geo?\w+|con\w+)",2,1,10
27,"((\w+er|\w+ment|\w+ness)\W+){5}(\w+er|\w+ment|\w+ness)",5,1,10
28,"((\w+ly|\w+ive|\w+ish)\W+){5}(\w+ly|\w+ive|\w+ish)",4,1,10
29,"((an\w+|\w+ation|\w+ness)\W+){5}(an\w+|\w+ation|\w+ness)",5,1,10
30,"((in\w+|\w+al|\w+ment)\W+){5}(in\w+|\w+al|\w+ment)",6,1,10
31,"((\w+er|ex\w+|\w+ment)\W+){5}(\w+er|ex\w+|\w+ment)",3,1,10
32,"((\w+er|\w+ness|im\w+)\W+){5}(\w+er|\w+ness|im\w+)",5,1,10
33,"((\w+ly|en\w+|\w+ence)\W+){5}(\w+ly|en\w+|\w+ence)",4,1,10
34,"((\w+er|en\w+|\w+age)\W+){5}(\w+er|en\w+|\w+age)",3,1,10
35,"((an\w+|\w+ent|\w+ous)\W+){5}(an\w+|\w+ent|\w+ous)",4,1,10
36,"((an\w+|\w+ence|\w+able)\W+){5}(an\w+|\w+ence|\w+able)",2,1,10
37,"((an\w+|\w+ate|\w+age)\W+){5}(an\w+|\w+ate|\w+age)",2,1,10
38,"((\w+ly|di\w+|\w+ic)\W+){5}(\w+ly|di\w+|\w+ic)",4,1,10
39,"((\w+ly|un\w+|\w+ness)\W+){5}(\w+ly|un\w+|\w+ness)",4,1,10
40,"((\w+ly|ex\w+|\w+ish)\W+){5}(\w+ly|ex\w+|\w+ish)",4,1,10
41,"((\w+er|in\w+|pro\w+)\W+){5}(\w+er|in\w+|pro\w+)",3,1,10
42,"((an\w+|pre\w+|\w+ish)\W+){5}(an\w+|pre\w+|\w+ish)",2,1,10
43,"((an\w+|be\w+|\w+ant)\W+){5}(an\w+|be\w+|\w+ant)",2,1,10
