"","query","noutputs","bin_range_min","bin_range_max"
0,"[^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",100092,100000,1000000
1,"[^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",100092,100000,1000000
2,"[^\n]* PREFIX [^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",100620,100000,1000000
3,"[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* WHERE [^\n]*",100617,100000,1000000
4,"[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]*",105706,100000,1000000
5,"[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",105706,100000,1000000
6,"[^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",101196,100000,1000000
7,"[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",100621,100000,1000000
8,"[^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]*",100092,100000,1000000
9,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]*",101196,100000,1000000
10,"[^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]*",101196,100000,1000000
11,"[^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",116609,100000,1000000
12,"[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]*",100630,100000,1000000
13,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]*",101196,100000,1000000
14,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",101196,100000,1000000
15,"[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",100621,100000,1000000
16,"[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*",100617,100000,1000000
17,"[^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]*",100620,100000,1000000
18,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",101196,100000,1000000
19,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",101196,100000,1000000
20,"[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]*",100618,100000,1000000
21,"[^\n]* PREFIX [^\n]*\n[^\n]* WHERE [^\n]*",100633,100000,1000000
22,"[^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",101196,100000,1000000
23,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",105706,100000,1000000
24,"[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",105706,100000,1000000
25,"[^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]*",100092,100000,1000000
26,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*",105706,100000,1000000
27,"[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*",101196,100000,1000000
28,"[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*",100617,100000,1000000
29,"[^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]*",100620,100000,1000000
30,"[^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]*",105706,100000,1000000
31,"[^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]*",100092,100000,1000000
32,"[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]*",100618,100000,1000000
33,"[^\n]* DISTINCT [^\n]*\n[^\n]* WHERE [^\n]*",100092,100000,1000000
0,"[^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*",19259,10000,100000
1,"[^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]*",93433,10000,100000
2,"[^\n]* SELECT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*",19322,10000,100000
3,"[^\n]* PREFIX [^\n]* DISTINCT [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",43123,10000,100000
4,"[^\n]* PREFIX [^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* SELECT [^\n]*",93138,10000,100000
5,"[^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*",41620,10000,100000
6,"[^\n]* OPTIONAL [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]*",74392,10000,100000
7,"[^\n]* SELECT [^\n]* OPTIONAL [^\n]*\n[^\n]* OPTIONAL [^\n]* FILTER [^\n]*",18868,10000,100000
8,"[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*",29341,10000,100000
9,"[^\n]* SELECT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]*",55227,10000,100000
10,"[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*",17644,10000,100000
11,"[^\n]* PREFIX [^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]*",74154,10000,100000
12,"[^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* SELECT [^\n]* OPTIONAL [^\n]*",73967,10000,100000
