"","query","ambiguous"
0,"\W!x{uni\w+\W\w+ject\w+}\W",1
1,"\W!x{\w+auto?\w+\Wcontra\w+}\W",1
2,"\W!x{\w+al\Wnon\w+}\W",1
3,"\W!x{non\w+\Wun\w+}\W",1
4,"\W!x{inter\w+\Wen\w+}\W",1
5,"\W!x{em\w+\W\w+ous}\W",1
6,"\W!x{\w+ary\Wir\w+}\W",1
7,"\W!x{\w+ible\W\w+spect?\w+}\W",1
8,"\W!x{re\w+\W\w+p(el|uls)\w+}\W",1
9,"\W!x{\w+ly\W\w+graph\w+}\W",1
10,"\W!x{\w+ous\W\w+less}\W",1
11,"\W!x{de\w+\W\w+less}\W",1
12,"\W!x{\w+ian\W\w+ive}\W",1
13,"\W!x{multi\w+\Wre\w+}\W",1
14,"\W!x{\w+ish\W\w+ful}\W",1
15,"\W!x{\w+gr(ad|ess)\w+\W\w+bio?\w+}\W",1
16,"\W!x{\w+ent\W\w+pa(th|ss)\w+}\W",1
17,"\W!x{contra\w+\Wde\w+}\W",1
18,"\W!x{trans\w+\Wcon\w+}\W",1
19,"\W!x{\w+less\W\w+form\w+}\W",1
20,"\W!x{pro\w+\W\w+ism}\W",1
21,"\W!x{\w+scri(pt|b)\w+\W\w+ic}\W",1
22,"\W!x{\w+ful\W\w+c[ae]pt\w+}\W",1
23,"\W!x{de\w+\W\w+ver[ts]\w+}\W",1
24,"\W!x{\w+less\W\w+ous}\W",1
25,"\W!x{\w+ment\W\w+ation}\W",1
26,"\W!x{un\w+\Wem\w+}\W",1
27,"\W!x{sub\w+\W\w+form\w+}\W",1
28,"\W!x{\w+ment\W\w+cide\w+}\W",1
29,"\W!x{trans\w+\W\w+ure}\W",1
30,"\W!x{di\w+\W\w+ship}\W",1
31,"\W!x{mis\w+\W\w+ant}\W",1
32,"\W!x{un\w+\Wdia\w+}\W",1
33,"\W!x{un\w+\W\w+ize}\W",1
34,"\W!x{\w+tract\w+\W\w+pan\w+}\W",1
35,"\W!x{\w+ous\W\w+rupt\w+}\W",1
36,"\W!x{pre\w+\W\w+cide\w+}\W",1
37,"\W!x{contra\w+\W\w+p(el|uls)\w+}\W",1
38,"\W!x{\w+ation\W\w+auto?\w+}\W",1
39,"\W!x{\w+press\w+\Wbi\w+}\W",1
40,"\W!x{\w+pa(th|ss)\w+\Wcom\w+}\W",1
41,"\W!x{\w+geo?\w+\W\w+pa(th|ss)\w+}\W",1
42,"\W!x{\w+ness\W\w+ish}\W",1
43,"\W!x{sub\w+\W\w+able}\W",1
44,"\W!x{re\w+\W\w+tial}\W",1
45,"\W!x{bene\w+\Wpre\w+}\W",1
46,"\W!x{\w+gr(ad|ess)\w+\W\w+ent}\W",1
47,"\W!x{\w+ate\Wbi\w+}\W",1
48,"\W!x{\w+age\W\w+port\w+}\W",1
49,"\W!x{re\w+\Wsub\w+}\W",1
50,"\W!x{\w+cial\W\w+eer}\W",1
51,"\W!x{de\w+\W\w+graph\w+}\W",1
52,"\W!x{\w+graph\w+\W\w+age}\W",1
53,"\W!x{pro\w+\W\w+pa(th|ss)\w+}\W",1
54,"\W!x{mono\w+\W\w+ment}\W",1
55,"\W!x{\w+p(el|uls)\w+\Wen\w+}\W",1
56,"\W!x{\w+ure\W\w+ary}\W",1
57,"\W!x{bi\w+\Wpro\w+}\W",1
58,"\W!x{en\w+\Wdia\w+}\W",1
59,"\W!x{\w+ity\Wir\w+}\W",1
60,"\W!x{\w+eer\Wnon\w+}\W",1
61,"\W!x{\w+ise\W\w+ible}\W",1
62,"\W!x{pre\w+\W\w+ize}\W",1
63,"\W!x{de\w+\Wir\w+}\W",1
64,"\W!x{\w+fact?\w+\Wdi\w+}\W",1
65,"\W!x{re\w+\W\w+fle[cx]\w+}\W",1
66,"\W!x{\w+stru(ct)?\w+\W\w+cide\w+}\W",1
67,"\W!x{\w+ist\Wcon\w+}\W",1
68,"\W!x{\w+c[ae]pt\w+\Wcontra\w+}\W",1
69,"\W!x{\w+ity\W\w+age}\W",1
70,"\W!x{\w+ment\W\w+ible}\W",1
71,"\W!x{\w+age\W\w+scri(pt|b)\w+}\W",1
72,"\W!x{\w+spect?\w+\W\w+port\w+}\W",1
73,"\W!x{pre\w+\W\w+stru(ct)?\w+}\W",1
74,"\W!x{post\w+\W\w+scri(pt|b)\w+}\W",1
75,"\W!x{pro\w+\W\w+cide\w+}\W",1
76,"\W!x{pro\w+\W\w+ist}\W",1
77,"\W!x{com\w+\W\w+ise}\W",1
78,"\W!x{col\w+\W\w+ate}\W",1
79,"\W!x{\w+press\w+\Wanti\w+}\W",1
80,"\W!x{im\w+\W\w+pa(th|ss)\w+}\W",1
81,"\W!x{em\w+\W\w+ance}\W",1
82,"\W!x{dis\w+\Winter\w+}\W",1
83,"\W!x{\w+eer\W\w+ist}\W",1
84,"\W!x{\w+ive\W\w+stru(ct)?\w+}\W",1
85,"\W!x{en\w+\W\w+mi[ts]\w+}\W",1
86,"\W!x{contra\w+\W\w+ure}\W",1
87,"\W!x{\w+port\w+\W\w+tude}\W",1
88,"\W!x{\w+ive\W\w+mi[ts]\w+}\W",1
89,"\W!x{\w+ise\Wex\w+}\W",1
90,"\W!x{\w+spire\w+\W\w+ment}\W",1
91,"\W!x{\w+press\w+\W\w+pa(th|ss)\w+}\W",1
92,"\W!x{\w+bio?\w+\W\w+rupt\w+}\W",1
93,"\W!x{\w+ist\W\w+ary}\W",1
94,"\W!x{pre\w+\W\w+scri(pt|b)\w+}\W",1
95,"\W!x{\w+rupt\w+\Wde\w+}\W",1
96,"\W!x{\w+ure\W\w+ism}\W",1
97,"\W!x{\w+geo?\w+\Wpost\w+}\W",1
98,"\W!x{\w+less\Wsub\w+}\W",1
99,"\W!x{bene\w+\Wre\w+}\W",1
100,"\W!x{\w+tude\W\w+ible}\W",1
101,"\W!x{\w+spire\w+\W\w+ous}\W",1
102,"\W!x{\w+gr(ad|ess)\w+\W\w+ment}\W",1
103,"\W!x{\w+ject\w+\Wnon\w+}\W",1
104,"\W!x{\w+ance\W\w+port\w+}\W",1
105,"\W!x{trans\w+\Wco\w+}\W",1
106,"\W!x{trans\w+\Wsub\w+}\W",1
107,"\W!x{col\w+\Wuni\w+}\W",1
108,"\W!x{\w+ic\W\w+ize}\W",1
109,"\W!x{\w+cial\Wtri\w+}\W",1
110,"\W!x{\w+rupt\w+\W\w+ness}\W",1
111,"\W!x{mis\w+\Wtri\w+}\W",1
112,"\W!x{en\w+\W\w+press\w+}\W",1
113,"\W!x{il\w+\W\w+bio?\w+}\W",1
114,"\W!x{\w+eer\W\w+ness}\W",1
115,"\W!x{\w+able\W\w+cial}\W",1
116,"\W!x{\w+press\w+\W\w+tude}\W",1
117,"\W!x{\w+ible\Wmono\w+}\W",1
118,"\W!x{\w+gr(ad|ess)\w+\W\w+ver[ts]\w+}\W",1
119,"\W!x{\w+ate\Wmal\w+}\W",1
120,"\W!x{\w+spect?\w+\W\w+ic}\W",1
121,"\W!x{il\w+\Wpre\w+}\W",1
122,"\W!x{sub\w+\W\w+ure}\W",1
123,"\W!x{\w+ment\W\w+ive}\W",1
124,"\W!x{\w+tial\W\w+less}\W",1
125,"\W!x{tri\w+\Winter\w+}\W",1
126,"\W!x{im\w+\Wmal\w+}\W",1
127,"\W!x{\w+age\W\w+pan\w+}\W",1
128,"\W!x{\w+pan\w+\W\w+ist}\W",1
129,"\W!x{\w+ful\W\w+ver[ts]\w+}\W",1
130,"\W!x{\w+pa(th|ss)\w+\W\w+ence}\W",1
131,"\W!x{\w+pan\w+\W\w+press\w+}\W",1
132,"\W!x{\w+port\w+\W\w+geo?\w+}\W",1
133,"\W!x{\w+ship\W\w+ary}\W",1
134,"\W!x{\w+ate\Wanti\w+}\W",1
135,"\W!x{\w+ive\W\w+ous}\W",1
136,"\W!x{\w+or\W\w+ary}\W",1
137,"\W!x{\w+ion\W\w+ion}\W",1
138,"\W!x{\w+ver[ts]\w+\Wex\w+}\W",1
139,"\W!x{\w+or\W\w+ize}\W",1
140,"\W!x{dis\w+\Wde\w+}\W",1
141,"\W!x{\w+ance\Wde\w+}\W",1
142,"\W!x{pro\w+\Wdis\w+}\W",1
143,"\W!x{di\w+\Wpre\w+}\W",1
144,"\W!x{\w+hood\W\w+ly}\W",1
145,"\W!x{\w+ian\W\w+ent}\W",1
146,"\W!x{co\w+\Wil\w+}\W",1
147,"\W!x{an\w+\Wanti\w+}\W",1
148,"\W!x{un\w+\W\w+press\w+}\W",1
149,"\W!x{a\w+\W\w+rupt\w+}\W",1
150,"\W!x{\w+tial\W\w+ence}\W",1
151,"\W!x{\w+ous\Wil\w+}\W",1
152,"\W!x{\w+geo?\w+\W\w+less}\W",1
153,"\W!x{dis\w+\W\w+ise}\W",1
154,"\W!x{en\w+\Wex\w+}\W",1
155,"\W!x{en\w+\W\w+age}\W",1
156,"\W!x{\w+ate\W\w+pan\w+}\W",1
157,"\W!x{\w+ic\W\w+ate}\W",1
158,"\W!x{\w+rupt\w+\Wan\w+}\W",1
159,"\W!x{con\w+\W\w+ance}\W",1
160,"\W!x{mal\w+\Wa\w+}\W",1
161,"\W!x{\w+ate\W\w+bio?\w+}\W",1
162,"\W!x{de\w+\W\w+ant}\W",1
163,"\W!x{de\w+\W\w+ish}\W",1
164,"\W!x{an\w+\W\w+gr(ad|ess)\w+}\W",1
165,"\W!x{be\w+\W\w+bio?\w+}\W",1
166,"\W!x{a\w+\W\w+logy}\W",1
167,"\W!x{\w+pa(th|ss)\w+\Wre\w+}\W",1
168,"\W!x{co\w+\W\w+form\w+}\W",1
169,"\W!x{\w+ian\W\w+geo?\w+}\W",1
170,"\W!x{\w+logy\Wan\w+}\W",1
171,"\W!x{\w+less\Wco\w+}\W",1
172,"\W!x{uni\w+\Wre\w+}\W",1
