x = |10083617,10083642>
x = |10084116,10084141>
x = |10084575,10084600>
x = |10143872,10143902>
x = |10143874,10143902>
x = |10158638,10158670>
x = |10159726,10159758>
x = |10160816,10160848>
x = |10161866,10161898>
x = |10162925,10162957>
x = |10163945,10163977>
x = |10164922,10164954>
x = |10165899,10165931>
x = |10166842,10166874>
x = |10167785,10167817>
x = |1022001,1022033>
x = |1022992,1023024>
x = |1023982,1024014>
x = |10357408,10357424>
x = |10358212,10358228>
x = |10358962,10358978>
x = |10394272,10394304>
x = |10394273,10394304>
x = |10395036,10395068>
x = |10395037,10395068>
x = |10395816,10395848>
x = |10395817,10395848>
x = |10420387,10420405>
x = |10446249,10446283>
x = |10446250,10446283>
x = |10446251,10446283>
x = |10446252,10446283>
x = |10446253,10446283>
x = |10446516,10446550>
x = |10446517,10446550>
x = |10446518,10446550>
x = |10446519,10446550>
x = |10446520,10446550>
x = |10446784,10446818>
x = |10446785,10446818>
x = |10446786,10446818>
x = |10446787,10446818>
x = |10446788,10446818>
x = |10448702,10448732>
x = |10454147,10454175>
x = |10463686,10463709>
x = |10464204,10464227>
x = |10464722,10464745>
x = |10465240,10465263>
x = |10592489,10592520>
x = |10595603,10595634>
x = |10598714,10598745>
x = |10610393,10610424>
x = |10644357,10644389>
x = |10644374,10644389>
x = |10666311,10666328>
x = |10689133,10689148>
x = |10693923,10693938>
x = |10698690,10698705>
x = |10703463,10703478>
x = |10708241,10708256>
x = |10713003,10713018>
x = |10717622,10717637>
x = |10722238,10722253>
x = |10726849,10726864>
x = |10731454,10731469>
x = |10736058,10736073>
x = |10740658,10740673>
x = |10745257,10745272>
x = |10749856,10749871>
x = |10754453,10754468>
x = |10759050,10759065>
x = |10763642,10763657>
x = |10768234,10768249>
x = |10772822,10772837>
x = |10777408,10777423>
x = |10781988,10782003>
x = |10795957,10795973>
x = |10800181,10800197>
x = |10804381,10804397>
x = |10873429,10873451>
x = |10874191,10874213>
x = |10874954,10874976>
x = |11088138,11088160>
x = |11088232,11088265>
x = |11088250,11088265>
x = |11305718,11305733>
x = |11310807,11310825>
x = |11330556,11330579>
x = |11330563,11330579>
x = |11334155,11334178>
x = |11334162,11334178>
x = |11337710,11337733>
x = |11337717,11337733>
x = |11340536,11340559>
x = |11340543,11340559>
x = |11344139,11344162>
x = |11344146,11344162>
x = |11348292,11348322>
x = |11353346,11353365>
x = |11353913,11353932>
x = |11362861,11362880>
x = |11363769,11363791>
x = |11368463,11368482>
x = |11368466,11368482>
x = |11369066,11369093>
x = |11376117,11376146>
x = |11377428,11377457>
x = |11378741,11378770>
x = |11379933,11379962>
x = |11381143,11381172>
x = |11382353,11382382>
x = |11383044,11383073>
x = |11446984,11447003>
x = |11448119,11448138>
x = |11449105,11449124>
x = |11453210,11453225>
x = |11454743,11454758>
